Total $\rho$,Source,c,rho
0,0,0.5051258629351958,-2.023516318974657e-09
0,1,0.44410635103910695,3.511915365554747e-09
0,2,0.05076778602569726,-1.546983642860462e-09
0.5,0,0.24008247090772605,-2.279385122990255e-09
0.5,1,0.21108041476776643,-1.491135211009364e-09
0.5,2,0.5488371143245077,0.5000000021276295
1.0,0,0.05169370150387773,-3.4781539940044644e-10
1.0,1,0.045449275344591346,-2.2109138448891762e-10
1.0,2,0.902857023151531,1.000000000502149
1.5,0,0.028062995709908882,5.739097911758743e-10
1.5,1,0.02467319878397953,1.4117246083050402e-09
1.5,2,0.9472638055061117,1.4999999947181344
2.0,0,0.024774778277668906,1.0732006129027088e-08
2.0,1,0.021782207197487802,4.573876729922094e-08
2.0,2,0.9534430145248433,1.9999999412220237
2.5,0,0.020653995499206868,3.1612155762962804e-10
2.5,1,0.2707269263104828,0.9689360111789606
2.5,2,0.7086190781903102,1.5310639873836582
3.0,0,0.017874100115169614,1.1629578919324078e-09
3.0,1,0.33534491904692154,1.334171041918025
3.0,2,0.6467809808379089,1.6658289554546504
3.5,0,0.01652366254479927,7.113263469500093e-09
3.5,1,0.35999225545166874,1.653949966055123
3.5,2,0.6234840820035319,1.8460500239126425
4.0,0,0.015879789956848776,3.989110569006253e-08
4.0,1,0.37042538766937466,1.9571763440744752
4.0,2,0.6136948223737767,2.0428236095822383
4.5,0,0.022383316037686084,0.21246184744729465
4.5,1,0.37103107051523443,2.12824081423599
4.5,2,0.6065856134470794,2.1592973313290553
5.0,0,0.04846830188201302,0.8553753107617819
5.0,1,0.3598030757108298,2.0432139957884545
5.0,2,0.5917286224071572,2.1014106881129866
