Total $\rho$,Scenario,Forecast error
0,Optimal Sample,5.140333971384243
0,Uniform Sample,9.580257680861571
0,Optimal Sample,6.5268462991007405
0,Uniform Sample,9.860083925874081
0,Optimal Sample,6.534065459900501
0,Uniform Sample,6.767999743445541
0,Optimal Sample,8.38797384769506
0,Uniform Sample,8.831394781437638
0,Optimal Sample,5.144143705571421
0,Uniform Sample,7.201416412163163
0,Optimal Sample,4.328754754354508
0,Uniform Sample,9.264246298376744
0,Optimal Sample,5.583629416477684
0,Uniform Sample,11.89198543382555
0,Optimal Sample,4.71413052000282
0,Uniform Sample,10.493750215225727
0,Optimal Sample,5.958709176815677
0,Uniform Sample,7.601785921279412
0,Optimal Sample,5.194032606593467
0,Uniform Sample,9.62543445235275
0,Optimal Sample,7.255412121988588
0,Uniform Sample,9.615620031281576
0,Optimal Sample,6.018356683553385
0,Uniform Sample,12.147755269811402
0,Optimal Sample,5.954943948985615
0,Uniform Sample,6.928004824809355
0,Optimal Sample,7.907884853043953
0,Uniform Sample,8.050507001966567
0,Optimal Sample,6.510679566235753
0,Uniform Sample,9.800187497872074
0,Optimal Sample,5.413358239879586
0,Uniform Sample,7.097178375459314
0,Optimal Sample,5.222958416664258
0,Uniform Sample,9.565446764097649
0,Optimal Sample,5.281898535270502
0,Uniform Sample,12.9317461332025
0,Optimal Sample,6.149141948119584
0,Uniform Sample,9.32731689512064
0,Optimal Sample,5.609006640673523
0,Uniform Sample,10.907494423446867
0,Optimal Sample,5.578567727214373
0,Uniform Sample,13.969678575435276
0,Optimal Sample,4.395824700529199
0,Uniform Sample,9.329740127495507
0,Optimal Sample,5.688847770224136
0,Uniform Sample,7.224402836004268
0,Optimal Sample,9.825785678389094
0,Uniform Sample,12.79243695090922
0,Optimal Sample,5.3318101828059525
0,Uniform Sample,8.522199348413574
0,Optimal Sample,6.1302300904455285
0,Uniform Sample,6.143967691726383
0,Optimal Sample,7.763670417445913
0,Uniform Sample,9.534131751814549
0,Optimal Sample,5.22682328653045
0,Uniform Sample,7.48291318597468
0,Optimal Sample,6.0582305504232545
0,Uniform Sample,7.651365699398975
0,Optimal Sample,5.199110143926231
0,Uniform Sample,8.343787031898579
0,Optimal Sample,5.104499266219391
0,Uniform Sample,15.825533152057323
0,Optimal Sample,3.953049101120721
0,Uniform Sample,8.827852673952663
0,Optimal Sample,5.269807635784014
0,Uniform Sample,8.34213820849996
0,Optimal Sample,6.709676524880881
0,Uniform Sample,5.866651448122569
0,Optimal Sample,6.039415091009163
0,Uniform Sample,8.772156719241243
0,Optimal Sample,5.664965426803676
0,Uniform Sample,8.43852556551025
0,Optimal Sample,4.796272507340569
0,Uniform Sample,10.316642577222037
0,Optimal Sample,4.901884745213603
0,Uniform Sample,9.142809428431017
0,Optimal Sample,3.8655005696156035
0,Uniform Sample,7.341734088565895
0,Optimal Sample,6.352142460711614
0,Uniform Sample,9.542328091108827
0,Optimal Sample,7.26520946358112
0,Uniform Sample,6.148764756487925
0,Optimal Sample,5.612422151873926
0,Uniform Sample,10.85156291497588
0,Optimal Sample,6.381696336463327
0,Uniform Sample,6.492154252285637
0,Optimal Sample,5.511193907694005
0,Uniform Sample,11.535177048680307
0,Optimal Sample,7.675342572175195
0,Uniform Sample,11.988366483535223
0,Optimal Sample,5.64409247590264
0,Uniform Sample,6.304802975393506
0,Optimal Sample,6.719828629300476
0,Uniform Sample,6.669128235284029
0,Optimal Sample,5.884137907630673
0,Uniform Sample,12.125243213241072
0,Optimal Sample,4.937207577688206
0,Uniform Sample,9.032297261633763
0,Optimal Sample,4.769070159854095
0,Uniform Sample,7.8841087058006405
0,Optimal Sample,6.9838204761556435
0,Uniform Sample,8.879238822312184
0,Optimal Sample,5.147769737044863
0,Uniform Sample,7.163194176905717
0,Optimal Sample,5.854441899379172
0,Uniform Sample,6.327247830342419
0,Optimal Sample,6.942041786051402
0,Uniform Sample,11.752036451324663
0,Optimal Sample,5.069063872193088
0,Uniform Sample,7.632404540761456
0,Optimal Sample,5.642573836859601
0,Uniform Sample,5.877215205488098
0,Optimal Sample,4.2943933393658
0,Uniform Sample,8.101453674259115
0,Optimal Sample,3.128078999224524
0,Uniform Sample,9.01420403436448
0,Optimal Sample,6.079234518132326
0,Uniform Sample,11.743032550036146
0,Optimal Sample,6.055169116951374
0,Uniform Sample,8.145205119461187
0,Optimal Sample,7.1257985998488795
0,Uniform Sample,9.807283524725488
0,Optimal Sample,6.390929437321685
0,Uniform Sample,7.252369179294912
0,Optimal Sample,4.46555803985851
0,Uniform Sample,8.688942102990318
0,Optimal Sample,7.518830960464304
0,Uniform Sample,9.11921305886227
0,Optimal Sample,5.941087884890299
0,Uniform Sample,5.768553811883391
0,Optimal Sample,6.79194297560145
0,Uniform Sample,8.869822748978443
0,Optimal Sample,7.181992690297006
0,Uniform Sample,9.381530887494948
0,Optimal Sample,5.3094072773169145
0,Uniform Sample,7.2735046875836575
0,Optimal Sample,5.109318173036783
0,Uniform Sample,8.177666056811677
0,Optimal Sample,5.101326238514248
0,Uniform Sample,8.941189626796039
0,Optimal Sample,5.178527772889932
0,Uniform Sample,5.550153947150967
0,Optimal Sample,6.348978956404928
0,Uniform Sample,15.905725674969858
0,Optimal Sample,5.127118803049373
0,Uniform Sample,10.590843086607805
0,Optimal Sample,6.33386073796771
0,Uniform Sample,8.27343401785213
0,Optimal Sample,6.446156311480058
0,Uniform Sample,7.4492909008945425
0,Optimal Sample,6.769507543106766
0,Uniform Sample,10.964797772157578
0,Optimal Sample,4.989701044194695
0,Uniform Sample,13.248074274595465
0,Optimal Sample,4.075382330917308
0,Uniform Sample,5.9070355175365235
0,Optimal Sample,6.149962369126093
0,Uniform Sample,8.21937127847687
0,Optimal Sample,6.41442075413948
0,Uniform Sample,7.517048218373122
0,Optimal Sample,6.572216779204326
0,Uniform Sample,9.57261217143809
0,Optimal Sample,6.127422252030782
0,Uniform Sample,12.26259047536409
0,Optimal Sample,5.9841322961298795
0,Uniform Sample,11.3793489914027
0,Optimal Sample,4.541745419434904
0,Uniform Sample,8.77254115971884
0,Optimal Sample,5.51076667623737
0,Uniform Sample,11.254968488304252
0,Optimal Sample,6.771986229829161
0,Uniform Sample,15.023602453892712
0,Optimal Sample,5.2607748697342815
0,Uniform Sample,11.591080744065705
0,Optimal Sample,5.81582522598489
0,Uniform Sample,11.575359496892967
0,Optimal Sample,5.89463672795611
0,Uniform Sample,9.465534998901598
0,Optimal Sample,5.655461540510702
0,Uniform Sample,11.15242852579282
0,Optimal Sample,7.68526136160828
0,Uniform Sample,13.385352843999913
0,Optimal Sample,3.75925833348502
0,Uniform Sample,10.434760716917843
0,Optimal Sample,4.6196965228433635
0,Uniform Sample,10.935875622250641
0,Optimal Sample,5.453169277843874
0,Uniform Sample,9.930030083655387
0,Optimal Sample,7.4255787689639075
