Region,YYYYMMDD-hh,Base
0,20140401-00,48
1,20140401-00,50
2,20140401-00,19
3,20140401-00,21
0,20140401-01,30
1,20140401-01,23
2,20140401-01,4
3,20140401-01,9
0,20140401-02,13
1,20140401-02,25
2,20140401-02,5
3,20140401-02,10
0,20140401-03,32
1,20140401-03,22
2,20140401-03,13
3,20140401-03,26
0,20140401-04,64
1,20140401-04,33
2,20140401-04,43
3,20140401-04,26
0,20140401-05,132
1,20140401-05,63
2,20140401-05,69
3,20140401-05,69
0,20140401-06,266
1,20140401-06,148
2,20140401-06,91
3,20140401-06,217
0,20140401-07,381
1,20140401-07,259
2,20140401-07,97
3,20140401-07,264
0,20140401-08,283
1,20140401-08,199
2,20140401-08,78
3,20140401-08,220
0,20140401-09,176
1,20140401-09,168
2,20140401-09,53
3,20140401-09,135
0,20140401-10,173
1,20140401-10,150
2,20140401-10,41
3,20140401-10,113
0,20140401-11,178
1,20140401-11,169
2,20140401-11,42
3,20140401-11,158
0,20140401-12,151
1,20140401-12,151
2,20140401-12,42
3,20140401-12,125
0,20140401-13,189
1,20140401-13,189
2,20140401-13,63
3,20140401-13,150
0,20140401-14,267
1,20140401-14,235
2,20140401-14,51
3,20140401-14,183
0,20140401-15,313
1,20140401-15,331
2,20140401-15,54
3,20140401-15,269
0,20140401-16,361
1,20140401-16,463
2,20140401-16,69
3,20140401-16,259
0,20140401-17,370
1,20140401-17,515
2,20140401-17,81
3,20140401-17,296
0,20140401-18,404
1,20140401-18,389
2,20140401-18,95
3,20140401-18,234
0,20140401-19,362
1,20140401-19,395
2,20140401-19,53
3,20140401-19,208
0,20140401-20,196
1,20140401-20,255
2,20140401-20,50
3,20140401-20,96
0,20140401-21,344
1,20140401-21,326
2,20140401-21,63
3,20140401-21,145
0,20140401-22,237
1,20140401-22,160
2,20140401-22,60
3,20140401-22,72
0,20140401-23,122
1,20140401-23,96
2,20140401-23,60
3,20140401-23,39
0,20140402-00,69
1,20140402-00,46
2,20140402-00,25
3,20140402-00,21
0,20140402-01,39
1,20140402-01,24
2,20140402-01,8
3,20140402-01,11
0,20140402-02,18
1,20140402-02,14
2,20140402-02,9
3,20140402-02,18
0,20140402-03,28
1,20140402-03,25
2,20140402-03,12
3,20140402-03,15
0,20140402-04,82
1,20140402-04,40
2,20140402-04,35
3,20140402-04,39
0,20140402-05,130
1,20140402-05,82
2,20140402-05,74
3,20140402-05,58
0,20140402-06,284
1,20140402-06,178
2,20140402-06,85
3,20140402-06,238
0,20140402-07,447
1,20140402-07,276
2,20140402-07,97
3,20140402-07,279
0,20140402-08,352
1,20140402-08,259
2,20140402-08,78
3,20140402-08,238
0,20140402-09,245
1,20140402-09,189
2,20140402-09,54
3,20140402-09,168
0,20140402-10,219
1,20140402-10,227
2,20140402-10,58
3,20140402-10,154
0,20140402-11,231
1,20140402-11,244
2,20140402-11,52
3,20140402-11,179
0,20140402-12,208
1,20140402-12,207
2,20140402-12,46
3,20140402-12,171
0,20140402-13,247
1,20140402-13,213
2,20140402-13,60
3,20140402-13,189
0,20140402-14,291
1,20140402-14,291
2,20140402-14,68
3,20140402-14,218
0,20140402-15,387
1,20140402-15,422
2,20140402-15,56
3,20140402-15,273
0,20140402-16,360
1,20140402-16,576
2,20140402-16,65
3,20140402-16,312
0,20140402-17,500
1,20140402-17,683
2,20140402-17,66
3,20140402-17,351
0,20140402-18,414
1,20140402-18,483
2,20140402-18,84
3,20140402-18,271
0,20140402-19,367
1,20140402-19,442
2,20140402-19,69
3,20140402-19,208
0,20140402-20,374
1,20140402-20,502
2,20140402-20,68
3,20140402-20,199
0,20140402-21,351
1,20140402-21,400
2,20140402-21,73
3,20140402-21,170
0,20140402-22,225
1,20140402-22,234
2,20140402-22,74
3,20140402-22,105
0,20140402-23,136
1,20140402-23,125
2,20140402-23,50
3,20140402-23,37
0,20140403-00,76
1,20140403-00,61
2,20140403-00,24
3,20140403-00,33
0,20140403-01,44
1,20140403-01,36
2,20140403-01,12
3,20140403-01,14
0,20140403-02,24
1,20140403-02,19
2,20140403-02,13
3,20140403-02,10
0,20140403-03,43
1,20140403-03,40
2,20140403-03,15
3,20140403-03,32
0,20140403-04,84
1,20140403-04,47
2,20140403-04,29
3,20140403-04,33
0,20140403-05,144
1,20140403-05,77
2,20140403-05,69
3,20140403-05,64
0,20140403-06,273
1,20140403-06,187
2,20140403-06,79
3,20140403-06,211
0,20140403-07,383
1,20140403-07,302
2,20140403-07,88
3,20140403-07,249
0,20140403-08,341
1,20140403-08,252
2,20140403-08,85
3,20140403-08,186
0,20140403-09,198
1,20140403-09,162
2,20140403-09,61
3,20140403-09,170
0,20140403-10,179
1,20140403-10,176
2,20140403-10,52
3,20140403-10,151
0,20140403-11,185
1,20140403-11,192
2,20140403-11,44
3,20140403-11,128
0,20140403-12,202
1,20140403-12,213
2,20140403-12,66
3,20140403-12,138
0,20140403-13,278
1,20140403-13,256
2,20140403-13,53
3,20140403-13,179
0,20140403-14,299
1,20140403-14,317
2,20140403-14,84
3,20140403-14,234
0,20140403-15,373
1,20140403-15,495
2,20140403-15,59
3,20140403-15,320
0,20140403-16,446
1,20140403-16,560
2,20140403-16,75
3,20140403-16,357
0,20140403-17,463
1,20140403-17,749
2,20140403-17,82
3,20140403-17,346
0,20140403-18,529
1,20140403-18,638
2,20140403-18,86
3,20140403-18,375
0,20140403-19,441
1,20140403-19,540
2,20140403-19,88
3,20140403-19,305
0,20140403-20,529
1,20140403-20,719
2,20140403-20,101
3,20140403-20,242
0,20140403-21,710
1,20140403-21,706
2,20140403-21,93
3,20140403-21,205
0,20140403-22,661
1,20140403-22,673
2,20140403-22,99
3,20140403-22,147
0,20140403-23,388
1,20140403-23,236
2,20140403-23,88
3,20140403-23,81
0,20140404-00,154
1,20140404-00,102
2,20140404-00,41
3,20140404-00,32
0,20140404-01,75
1,20140404-01,71
2,20140404-01,20
3,20140404-01,18
0,20140404-02,53
1,20140404-02,37
2,20140404-02,11
3,20140404-02,16
0,20140404-03,56
1,20140404-03,36
2,20140404-03,21
3,20140404-03,41
0,20140404-04,90
1,20140404-04,83
2,20140404-04,36
3,20140404-04,29
0,20140404-05,138
1,20140404-05,84
2,20140404-05,70
3,20140404-05,89
0,20140404-06,301
1,20140404-06,202
2,20140404-06,115
3,20140404-06,221
0,20140404-07,444
1,20140404-07,296
2,20140404-07,114
3,20140404-07,348
0,20140404-08,464
1,20140404-08,280
2,20140404-08,83
3,20140404-08,238
0,20140404-09,279
1,20140404-09,244
2,20140404-09,84
3,20140404-09,162
0,20140404-10,245
1,20140404-10,247
2,20140404-10,67
3,20140404-10,200
0,20140404-11,278
1,20140404-11,293
2,20140404-11,59
3,20140404-11,189
0,20140404-12,272
1,20140404-12,321
2,20140404-12,62
3,20140404-12,172
0,20140404-13,331
1,20140404-13,336
2,20140404-13,78
3,20140404-13,249
0,20140404-14,357
1,20140404-14,418
2,20140404-14,83
3,20140404-14,332
0,20140404-15,460
1,20140404-15,539
2,20140404-15,67
3,20140404-15,438
0,20140404-16,515
1,20140404-16,754
2,20140404-16,81
3,20140404-16,515
0,20140404-17,696
1,20140404-17,888
2,20140404-17,109
3,20140404-17,587
0,20140404-18,823
1,20140404-18,904
2,20140404-18,102
3,20140404-18,620
0,20140404-19,813
1,20140404-19,698
2,20140404-19,140
3,20140404-19,482
0,20140404-20,580
1,20140404-20,491
2,20140404-20,121
3,20140404-20,297
0,20140404-21,759
1,20140404-21,764
2,20140404-21,147
3,20140404-21,259
0,20140404-22,904
1,20140404-22,558
2,20140404-22,157
3,20140404-22,240
0,20140404-23,737
1,20140404-23,332
2,20140404-23,128
3,20140404-23,142
0,20140405-00,351
1,20140405-00,166
2,20140405-00,122
3,20140405-00,84
0,20140405-01,188
1,20140405-01,120
2,20140405-01,66
3,20140405-01,42
0,20140405-02,100
1,20140405-02,46
2,20140405-02,44
3,20140405-02,25
0,20140405-03,74
1,20140405-03,59
2,20140405-03,22
3,20140405-03,26
0,20140405-04,71
1,20140405-04,34
2,20140405-04,26
3,20140405-04,22
0,20140405-05,68
1,20140405-05,39
2,20140405-05,36
3,20140405-05,34
0,20140405-06,73
1,20140405-06,46
2,20140405-06,44
3,20140405-06,43
0,20140405-07,90
1,20140405-07,79
2,20140405-07,46
3,20140405-07,64
0,20140405-08,110
1,20140405-08,76
2,20140405-08,66
3,20140405-08,88
0,20140405-09,144
1,20140405-09,114
2,20140405-09,73
3,20140405-09,119
0,20140405-10,179
1,20140405-10,127
